event_id,event_timestamp,customer_id,product_id,event_type,quantity,unit_price,country,source,status
E000157,2026-08-13 13:06:46,C00059,P0027,purchase,2,110.37,MX,mobile,processed
E000021,2026-08-13 21:51:05,C00125,P0053,view,1,25.99,US,partner_api,ok
E000356,2026-08-08 22:22:55,C00113,P0056, purchase ,1,205.10,US,web,ok
E000006,2026-08-01 23:43:46,C00032,P0060,view,1,117.56,GB,web,failed
E000124,2026-08-12 02:29:55,C00018,P0016,purchase,5,13.80,MX,web,failed
E000100,2026-08-01 01:27:26,C00121,P0019,view,1,115.37,US,web,processed
E000208,2026-08-02 12:53:22,C00027,P0050,view,1,64.08,DE,partner_api,processed
E000070,2026-08-09 20:59:54,C00108,P0035,view,-1,223.45,DE,partner_api,ok
E000111,2026-08-11 12:18:26,C00093,P0040,purchase,1,50.96,GB,partner_api,processed
E000120,2026-08-17 22:42:30,,P0025,view,1,177.78,CA,mobile,ok
E000355,2026-08-01 22:43:48,C00109,P0007,purchase,4,138.86,CA,mobile,ok
E000224,2026-08-07 14:34:57,C00041,P0046,add_to_cart,1,,CA,mobile,failed
E000097,2026-08-10 11:17:38,C00058,P0050,add_to_cart,1,151.05,DE,mobile,processed
E000247,2026-08-14 22:49:20,C00077,P0038,view,1,44.81,MX,partner_api,failed
E000030,2026-08-20 21:35:59,C00141,P0007,add_to_cart,1,23.47,US,partner_api,failed
E000131,2026-08-14 00:20:22,C00076,P0002,view,1,145.83,GB,mobile,ok
E000189,2026-08-09 13:43:41,C00033,P0043,view,1,198.96,DE,web,failed
E000382,2026-08-15 00:26:09,C00080,,add_to_cart,1,72.98,DE,web,ok
E000165,2026-08-04 06:14:36,C00018,P0010,view,1,166.05,US,web,failed
E000160,2026-08-13 18:42:35,C00032,P0027,view,1,85.76,MX,partner_api,processed
E000027,2026-08-11 18:18:51,C00025,P0007,view,1,104.73,GB,mobile,processed
E000338,2026-08-10 11:10:58,C00030,P0054,view,1,240.62,CA,mobile,processed
E000063,2026-08-16 20:03:33,C00064,P0059,purchase,4,17.30,US,mobile,ok
E000295,2026-08-05 06:45:51,C00144,P0014,purchase,5,182.45,GB,web,processed
E000112,2026-08-05 15:10:17,C00074,P0029,purchase,5,37.10,GB,web,ok
E000148,2026-08-05 16:04:04,C00056,P0053,purchase,5,55.75,CA,mobile,ok
E000285,2026-08-20 21:58:46,C00009,P0052,view,1,192.55,GB,partner_api,ok
E000229,2026-08-20 18:09:03,C00133,P0010,view,1,208.69,MX,web,ok
E000364,2026-08-20 08:16:04,C00102,P0014,add_to_cart,1,199.94,GB,web,processed
