Fav,Random,Blues,Reds,Greens,Yellows,Oranges,Browns
Blue,Yes,6,2,1,2,2,3
Green,Yes,4,2,4,1,4,0
Blue,No,3,3,2,2,2,4
Blue,Yes,6,1,2,4,0,3
Red,Maybe,4,1,3,5,1,1
Brown,Maybe,5,2,3,2,3,1
Blue,Yes,2,5,1,7,0,1
Yellow,Yes,2,5,1,2,4,2
Orange,Yes,6,0,1,1,3,3
Blue,Yes,4,1,2,4,1,3
Red,Maybe,2,3,3,5,3,0
Blue,Yes,7,2,1,3,1,1
Green,Yes,2,2,1,4,5,0
Blue,Yes,4,1,2,2,4,2
Blue,Yes,3,2,2,7,1,0
Red,Yes,2,1,6,2,5.5,0
Red,Maybe,2,4,5,0,1,3
Blue,Maybe,5,2,4,3,0,1
Red,Yes,16,4,2,4,2,1
Blue,Maybe,4,1,4,1,5,0
Blue,No,3,3,4,2,2,2
Red,Maybe,4,2,2,2,6,0
Blue,Yes,8,3,4,1,0,0
Green,Yes,4,4,2,4,0,2
Green,Yes,2,4,1,5,1,3
Red,Yes,4,3,3,2,3,1
Red,Maybe,1,3,5,2,4,1
Green,Yes,4,2,1,3,3,2
Brown,Yes,4,2,1,3,1,2
